Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
195	Hand	trocknen	~e			5	Hände	getrocknet	X	trocknet|trockneten|trocknen|trockne|trocknete	59	0	3	0	6	0	0	24	0	2	0	0	12	0	14	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
56	Falte	unterspritzen	n	unter		17	Falten	unterspritzt	X	unterspritze|unterspritzt|unterspritzen|unterspritzte|unterspritztest|unterspritzten	14	0	4	0	6	1	0	7	0	1	0	0	14	0	31	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0
104	Auge	verdrehen	n	ver		9	Augen	verdreht	X	verdrehte|verdrehe|verdreht|verdrehen|verdrehten	141	9	31	0	419	27	0	11	0	3	1	0	78	9	88	6	0	0	0	3	2	2	0	0	0	0	0	0	37	12	1	2	2	77	11
50	Schiff	versenken	e	ver		18	Schiffe	versenkt	X	versenkte|versenkt|versenken|versenkten	109	6	8	1	37	1	1	22	0	16	1	0	86	3	590	18	24	0	0	25	2	0	0	0	0	0	0	0	66	4	1	0	0	65	3
159	Fisch	versenken	e	ver		6	Fische	versenkt	X	versenkte|versenkt|versenken|versenkten	27	3	0	0	0	0	0	0	0	0	0	0	25	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
201	Geschenk	verteilen	e	ver		5	Geschenke	verteilt	X	verteilten|verteilen|verteile|verteilt|verteilte	27	0	9	0	103	3	0	13	0	14	0	1	3	0	176	4	1	0	0	113	4	0	0	2	0	0	0	0	254	5	0	0	0	253	1
2	Hand	waschen	~e			335	Hände	gewaschen	X	wascht|waschen|wusch|wasche|wüschen|wäscht|wuschen	2944	70	533	11	1276	41	4	656	15	92	5	2	1061	42	1080	85	13	1	0	70	1	3	0	0	0	0	4	1	108	10	0	4	0	56	7
9	Haar	waschen	e			121	Haare	gewaschen	X	wascht|waschen|wusch|wasche|wüschen|wäscht|wuschen	1122	95	338	28	668	22	19	381	29	205	20	11	332	30	1014	182	12	0	0	71	19	1	0	0	0	0	0	2	204	64	0	3	0	79	25
60	Fahne	weihen	n			16	Fahnen	geweiht	X	weiht|weihen|weihte|weihe|weihten	111	0	18	0	2	0	0	0	0	0	0	0	139	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1425	3	0	0
14	Dose	werfen	n			71	Dosen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft	662	1	51	0	5	0	0	131	2	4	0	0	713	7	109	2	0	0	0	1	0	5	0	0	0	0	0	0	7	0	0	2	0	2	0
28	Stein	werfen	e			30	Steine	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft	274	7	68	3	94	6	1	76	2	29	0	0	165	6	386	40	3	0	0	92	3	2	0	3	0	0	0	0	204	9	0	15	0	90	9
43	Büchse	werfen	n			22	Büchsen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft	164	1	11	0	2	0	0	24	0	4	0	0	168	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
62	Ring	werfen	e			15	Ringe	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft	57	1	3	0	2	0	1	8	0	4	0	0	68	1	71	1	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1
64	Ei	werfen	er			15	Eier	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft	60	0	15	0	8	3	0	14	0	0	0	0	43	0	33	1	0	0	0	5	1	0	0	0	0	0	0	0	8	0	0	98	2	2	0
107	Rakete	werfen	n			8	Raketen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft	30	0	10	0	1	0	0	1	0	0	1	0	25	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	2	0
