Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
112	Radio	machen	0			40	Radios	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	279	2	59	1	44	6	0	84	0	30	4	0	82	0	330	6	5	0	0	115	3	24	0	8	0	0	1	0	106	3	0	1	0	98	3
150	Beute	machen	0			28	Beute	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	150	1	48	1	92	2	0	46	1	38	0	0	58	0	500	17	0	0	0	371	5	17	0	10	0	0	0	0	183	13	0	0	0	97	2
161	Schluss	machen	0			24	Schlüsse	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	171	96	54	6	76	30	0	42	6	98	17	0	97	110	4376	1276	1	0	17	1099	234	0	0	32	7	0	11	91	3082	1269	0	6	24	989	310
163	Party	machen	0			24	Partys	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	172	26	15	0	319	76	0	79	9	209	42	1	109	15	2883	561	3	0	0	491	50	1	1	11	3	0	0	1	579	108	0	1	0	323	32
171	Pipi	machen	0			23	Pipi	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	190	26	35	2	59	11	0	101	14	191	49	0	71	16	775	142	1	0	0	62	14	0	0	0	2	0	0	0	161	31	0	0	0	102	20
226	Geld	machen	0			17	Gelder	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	235	21	46	1	1702	180	0	95	6	130	16	0	65	13	6762	595	4	1	0	2398	150	4	0	2	0	0	0	1	1164	80	0	549	64	1378	102
254	Liebe	machen	0			15	Liebe	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	101	17	23	1	98	7	1	28	2	41	3	1	50	16	801	114	0	0	0	117	9	1	0	4	0	0	0	0	423	56	5	4	0	871	80
257	Glas	machen	0			15	Gläsern	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	25	1	10	0	20	1	0	8	0	1	1	0	7	1	74	7	0	0	0	16	0	0	0	1	0	0	2	0	51	1	0	0	0	34	3
262	Theater	machen	0			14	Theatern	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	77	3	19	0	235	21	1	15	1	24	2	0	36	1	483	28	0	0	0	194	12	5	0	1	0	0	0	0	260	17	0	3	0	284	21
275	Grab	machen	0			14	Gräber	gemacht	X	macht|machte|machet|mache|machst|machten|machen|machts	11	0	5	0	8	0	0	0	0	5	1	0	0	0	9	0	0	0	0	1	1	0	0	2	0	0	0	0	4	1	0	0	0	3	0
