Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
50	Schiff	versenken	e	ver		18	Schiffe	versenkt	X	versenkte|versenkt|versenken|versenkten
159	Fisch	versenken	e	ver		6	Fische	versenkt	X	versenkte|versenkt|versenken|versenkten
201	Geschenk	verteilen	e	ver		5	Geschenke	verteilt	X	verteilten|verteilen|verteile|verteilt|verteilte
2	Hand	waschen	~e			335	Hände	gewaschen	X	wascht|waschen|wusch|wasche|wüschen|wäscht|wuschen
9	Haar	waschen	e			121	Haare	gewaschen	X	wascht|waschen|wusch|wasche|wüschen|wäscht|wuschen
129	Fuß	waschen	~e			7	Füße	gewaschen	X	wascht|waschen|wusch|wasche|wüschen|wäscht|wuschen
60	Fahne	weihen	n			16	Fahnen	geweiht	X	weiht|weihen|weihte|weihe|weihten
14	Dose	werfen	n			71	Dosen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
28	Stein	werfen	e			30	Steine	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
43	Büchse	werfen	n			22	Büchsen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
58	Tor	werfen	e			16	Tore	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
62	Ring	werfen	e			15	Ringe	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
64	Ei	werfen	er			15	Eier	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
107	Rakete	werfen	n			8	Raketen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
122	Münze	werfen	n			7	Münzen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
127	Krug	werfen	~e			7	Krüge	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
165	Bombe	werfen	n			6	Bomben	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
203	Flasche	werfen	n			5	Flaschen	geworfen	X	werft|würfen|würfe|wirfst|werfe|werfen|warf|warfen|wirft
111	Kralle	wetzen	n			8	Krallen	gewetzt	X	wetzte|wetze|wetzt|wetzten|wetzen
156	Gemeinschaft	wohnen	s			6	Gemeinschaften	gewohnt	X	wohne|wohnen|wohnet|wohnte|wohnt|wohnten|wohnst
13	Kalorie	zählen	n			71	Kalorien	gezählt	X	zählst|zählten|zähle|zählen|zählte|zählt
82	Erbse	zählen	n			11	Erbsen	gezählt	X	zählst|zählten|zähle|zählen|zählte|zählt
