# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
Handwerk_+s_mäßigen	5	
Handlung_+s_bezogen	5	
Hand_+=e_trocknen	5	
Haend_+e_waschen	5	
Haar_+e_ziehen	5	
Haar_+e_schneiden	5	
Haar_+e_ausraufen	5	
Gruppe_+n_voltigieren	5	
Glück_+s_spielen	5	
Gleichgewicht_+s_empfinden	5	
Gestaltung_+s_begehren	5	
Gesicht_+s_cremen	5	
Gesellschaft_+s_denken	5	
Gesellschaft_+s_bezogen	5	
Geschenk_+e_verteilen	5	
Generation_+en_wohnen	5	
Gemeinschaft_+s_empfinden	5	
Gedanke_+n_machen	5	
Flasche_+n_werfen	5	
Farbe_+n_mischen	5	
Erwartung_+s_bezogen	5	
Entschädigung_+s_begehren	5	
Elektrode_+n_schweißen	5	
Dinkel_+s_hausen	5	
Bonität_+s_abfragen	5	
Bild_+er_anschauen	5	
Bild_+er_ahmen	5	
Berufung_+s_begehren	5	
Auftrag_+s_bezogen	5	
Aufklärung_+s_denken	5	
Aufgabe_+n_reiten	5	
Aufgabe_+n_lösen	5	
Arbeit_+s_bezogen	5	
Alp_+en_grollen	5	
Übersetzung_+s_anfragen	4	
Zugehörigkeit_+s_empfinden	4	
Zahn_+=e_zeigen	4	
Zahl_+en_rechnen	4	
Wolke_+n_untergrenzen	4	
Wolf_+s_heulen	4	
Witz_+e_reißen	4	
Witz_+e_machen	4	
Wissenschaft_+s_bloggen	4	
Wert_+e_empfinden	4	
Weihnacht_+s_singen	4	
Weihnacht_+s_kochen	4	
Waffe_+n_klirren	4	
Verwaltung_+s_nebenstellen	4	
Verhalten_+s_bezogen	4	
Verfügbarkeit_+s_abfragen	4	
Verbindung_+s_schweißen	4	
Urlaub_+s_erleben	4	
Tüte_+n_kleben	4	
Training_+s_wohnen	4	
Tourist_+en_fahren	4	
Taube_+n_vergiften	4	
Subvention_+s_übereinkommen	4	
Stadt_+=e_bauen	4	
Spritze_+n_hausen	4	
Spitze_+n_reiten	4	
Sparte_+n_denken	4	
Spannung_+s_erleben	4	
Sonne_+n_tanken	4	
Socke_+n_anziehen	4	
Situation_+s_erleben	4	
Situation_+s_bezogen	4	
Sirene_+n_heulen	4	
Sicherheit_+s_gebaren	4	
Sicherheit_+s_garantieren	4	
Shirt_+s_bedrucken	4	
Seite_+n_steifen	4	
Sein_+s_denken	4	
Schwein_+e_grunzen	4	
Schlaufe_+n_fahren	4	
Scheiter_+n_lassen	4	
Scheibe_+n_klirren	4	
Schanze_+n_springen	4	
Schale_+n_brennen	4	
Römer_+s_hausen	4	
Runde_+n_laufen	4	
Rolle_+n_denken	4	
Rispe_+n_schieben	4	
Reich_+s_landen	4	
Region_+s_grünen	4	
Regierung_+s_versagen	4	
Reformation_+s_gedenken	4	
Rat_+s_hausen	4	
Qualität_+s_empfinden	4	
Pfanne_+n_rühren	4	
Pass_+=e_fahren	4	
Orientierung_+s_reiten	4	
Ohr_+en_jucken	4	
Ocker_+s_hausen	4	
Nutzung_+s_bedingen	4	
Niere_+n_gesunden	4	
Menschheit_+s_gedenken	4	
