Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
420	Mountainbike	fahren	0			8	Mountainbikes	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
438	Aufzug	fahren	0			8	Aufzügen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
440	Anhänger	fahren	0			8	Anhänger	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
458	Rallye	fahren	0			7	Rallye	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
461	Nacht	fahren	0			7	Nächten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
465	Lift	fahren	0			7	Lifte	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
512	Schiff	fahren	0			6	Schiffe	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
550	Eisenbahn	fahren	0			6	Eisenbahnen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
552	Einspänner	fahren	0			6	Einspänner	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
555	Dreirad	fahren	0			6	Dreiräder	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
567	Autobahn	fahren	0			6	Autobahnen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
591	Stapler	fahren	0			5	Stapler	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
597	Show	fahren	0			5	Shows	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
634	Kahn	fahren	0			5	Kähnen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
648	Gondel	fahren	0			5	Gondeln	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
661	Cross	fahren	0			5	Cross	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
188	Wasser	fassen	0			20	Wassern	gefasst	X	faßt|fasst|fasse|fassen|faßte|faßten|fasste|fassten
345	Essen	fassen	0			11	Essen	gefasst	X	faßt|fasst|fasse|fassen|faßte|faßten|fasste|fassten
374	Fuß	fassen	0			10	Füsse	gefasst	X	faßt|fasst|fasse|fassen|faßte|faßten|fasste|fassten
654	Futter	fassen	0			5	futter	gefasst	X	faßt|fasst|fasse|fassen|faßte|faßten|fasste|fassten
252	Saft	fasten	0			15	Säfte	gefastet	X	fasteten|fasten|fastet|fastete|faste
451	Tee	fasten	0			7	Tees	gefastet	X	fasteten|fasten|fastet|fastete|faste
522	Obst	fasten	0			6	Obst	gefastet	X	fasteten|fasten|fastet|fastete|faste
222	Säbel	fechten	0			17	Säbeln	gefochten	X	fechten|ficht|focht|fochten|fechte
264	Stock	fechten	0			14	Stöcke	gefochten	X	fechten|ficht|focht|fochten|fechte
326	Sport	fechten	0			11	Sports	gefochten	X	fechten|ficht|focht|fochten|fechte
329	Schwert	fechten	0			11	Schwerter	gefochten	X	fechten|ficht|focht|fochten|fechte
308	Schnee	fegen	0			12	Schnee	gefegt	X	fegten|fegen|fegt|fegte|fege
627	Laub	fegen	0			5	Laub	gefegt	X	fegten|fegen|fegt|fegte|fege
571	Arsch	ficken	0			6	Ärsche	gefickt	X	fickte|fickst|ficken|fickt|ficke
671	Bau	finanzieren	0			5	Bauten	finanziert	X	finanziert|finanziere|finanzierte|finanzieren|finanzierten
411	Segel	fliegen	0			8	Segel	geflogen	X	fliegt|fliegst|flogen|flöge|fliege|flog|fliegen
488	Drachen	fliegen	0			7	Drachen	geflogen	X	fliegt|fliegst|flogen|flöge|fliege|flog|fliegen
215	Gras	fressen	0			18	Gras	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
237	Kilometer	fressen	0			16	Kilometer	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
273	Kot	fressen	0			14	Kote	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
330	Schnee	fressen	0			11	Schnee	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
368	Heu	fressen	0			10	Heu	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
433	Frust	fressen	0			8	Frusts	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
486	Feder	fressen	0			7	Federn	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
519	Pickel	fressen	0			6	Pickel	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
16	Gas	geben	0			327	Gase	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
138	Almosen	geben	0			31	Almosen	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
300	Arbeit	geben	0			13	Arbeiten	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
358	Rat	geben	0			10	Räte	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
414	Recht	geben	0			8	Rechte	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
429	Hand	geben	0			8	Hände	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
441	Zeugnis	geben	0			7	Zeugnisse	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
