Index	Noun	Verb	Linking	Prefix	Particle	Freq
492	Bau	zeichnen	0			7
528	Manga	zeichnen	0			6
645	Hand	zeichnen	0			5
581	Trikot	zerren	0			5
121	Seil	ziehen	0			35
173	Trikot	ziehen	0			22
185	Zucker	ziehen	0			20
230	Öl	ziehen	0			16
231	Zahn	ziehen	0			16
246	Wurzel	ziehen	0			15
250	Stecker	ziehen	0			15
428	Kabel	ziehen	0			8
460	Nacken	ziehen	0			7
466	Leine	ziehen	0			7
510	Schwert	ziehen	0			6
589	Streifen	ziehen	0			5
652	Geld	ziehen	0			5
668	Bilanz	ziehen	0			5
642	Helm	zieren	0			5
99	Muskel	zucken	0			47
383	Unkraut	zupfen	0			9
384	Trikot	zupfen	0			9
